row_index,nakshatra_index,nakshatra_name,nakshatra_lord,sub_index,sub_lord,start_arcsec,end_arcsec,length_arcsec,start_deg,end_deg
1,1,Ashwini,Ketu,1,Ketu,0,2800,2800,0.000000,0.777778
2,1,Ashwini,Ketu,2,Venus,2800,10800,8000,0.777778,3.000000
3,1,Ashwini,Ketu,3,Sun,10800,13200,2400,3.000000,3.666667
4,1,Ashwini,Ketu,4,Moon,13200,17200,4000,3.666667,4.777778
5,1,Ashwini,Ketu,5,Mars,17200,20000,2800,4.777778,5.555556
6,1,Ashwini,Ketu,6,Rahu,20000,27200,7200,5.555556,7.555556
7,1,Ashwini,Ketu,7,Jupiter,27200,33600,6400,7.555556,9.333333
8,1,Ashwini,Ketu,8,Saturn,33600,41200,7600,9.333333,11.444444
9,1,Ashwini,Ketu,9,Mercury,41200,48000,6800,11.444444,13.333333
10,2,Bharani,Venus,1,Venus,48000,56000,8000,13.333333,15.555556
11,2,Bharani,Venus,2,Sun,56000,58400,2400,15.555556,16.222222
12,2,Bharani,Venus,3,Moon,58400,62400,4000,16.222222,17.333333
13,2,Bharani,Venus,4,Mars,62400,65200,2800,17.333333,18.111111
14,2,Bharani,Venus,5,Rahu,65200,72400,7200,18.111111,20.111111
15,2,Bharani,Venus,6,Jupiter,72400,78800,6400,20.111111,21.888889
16,2,Bharani,Venus,7,Saturn,78800,86400,7600,21.888889,24.000000
17,2,Bharani,Venus,8,Mercury,86400,93200,6800,24.000000,25.888889
18,2,Bharani,Venus,9,Ketu,93200,96000,2800,25.888889,26.666667
19,3,Krittika,Sun,1,Sun,96000,98400,2400,26.666667,27.333333
20,3,Krittika,Sun,2,Moon,98400,102400,4000,27.333333,28.444444
21,3,Krittika,Sun,3,Mars,102400,105200,2800,28.444444,29.222222
22,3,Krittika,Sun,4,Rahu,105200,108000,2800,29.222222,30.000000
23,3,Krittika,Sun,4,Rahu,108000,112400,4400,30.000000,31.222222
24,3,Krittika,Sun,5,Jupiter,112400,118800,6400,31.222222,33.000000
25,3,Krittika,Sun,6,Saturn,118800,126400,7600,33.000000,35.111111
26,3,Krittika,Sun,7,Mercury,126400,133200,6800,35.111111,37.000000
27,3,Krittika,Sun,8,Ketu,133200,136000,2800,37.000000,37.777778
28,3,Krittika,Sun,9,Venus,136000,144000,8000,37.777778,40.000000
29,4,Rohini,Moon,1,Moon,144000,148000,4000,40.000000,41.111111
30,4,Rohini,Moon,2,Mars,148000,150800,2800,41.111111,41.888889
31,4,Rohini,Moon,3,Rahu,150800,158000,7200,41.888889,43.888889
32,4,Rohini,Moon,4,Jupiter,158000,164400,6400,43.888889,45.666667
33,4,Rohini,Moon,5,Saturn,164400,172000,7600,45.666667,47.777778
34,4,Rohini,Moon,6,Mercury,172000,178800,6800,47.777778,49.666667
35,4,Rohini,Moon,7,Ketu,178800,181600,2800,49.666667,50.444444
36,4,Rohini,Moon,8,Venus,181600,189600,8000,50.444444,52.666667
37,4,Rohini,Moon,9,Sun,189600,192000,2400,52.666667,53.333333
38,5,Mrigashira,Mars,1,Mars,192000,194800,2800,53.333333,54.111111
39,5,Mrigashira,Mars,2,Rahu,194800,202000,7200,54.111111,56.111111
40,5,Mrigashira,Mars,3,Jupiter,202000,208400,6400,56.111111,57.888889
41,5,Mrigashira,Mars,4,Saturn,208400,216000,7600,57.888889,60.000000
42,5,Mrigashira,Mars,5,Mercury,216000,222800,6800,60.000000,61.888889
43,5,Mrigashira,Mars,6,Ketu,222800,225600,2800,61.888889,62.666667
44,5,Mrigashira,Mars,7,Venus,225600,233600,8000,62.666667,64.888889
45,5,Mrigashira,Mars,8,Sun,233600,236000,2400,64.888889,65.555556
46,5,Mrigashira,Mars,9,Moon,236000,240000,4000,65.555556,66.666667
47,6,Ardra,Rahu,1,Rahu,240000,247200,7200,66.666667,68.666667
48,6,Ardra,Rahu,2,Jupiter,247200,253600,6400,68.666667,70.444444
49,6,Ardra,Rahu,3,Saturn,253600,261200,7600,70.444444,72.555556
50,6,Ardra,Rahu,4,Mercury,261200,268000,6800,72.555556,74.444444
51,6,Ardra,Rahu,5,Ketu,268000,270800,2800,74.444444,75.222222
52,6,Ardra,Rahu,6,Venus,270800,278800,8000,75.222222,77.444444
53,6,Ardra,Rahu,7,Sun,278800,281200,2400,77.444444,78.111111
54,6,Ardra,Rahu,8,Moon,281200,285200,4000,78.111111,79.222222
55,6,Ardra,Rahu,9,Mars,285200,288000,2800,79.222222,80.000000
56,7,Punarvasu,Jupiter,1,Jupiter,288000,294400,6400,80.000000,81.777778
57,7,Punarvasu,Jupiter,2,Saturn,294400,302000,7600,81.777778,83.888889
58,7,Punarvasu,Jupiter,3,Mercury,302000,308800,6800,83.888889,85.777778
59,7,Punarvasu,Jupiter,4,Ketu,308800,311600,2800,85.777778,86.555556
60,7,Punarvasu,Jupiter,5,Venus,311600,319600,8000,86.555556,88.777778
61,7,Punarvasu,Jupiter,6,Sun,319600,322000,2400,88.777778,89.444444
62,7,Punarvasu,Jupiter,7,Moon,322000,324000,2000,89.444444,90.000000
63,7,Punarvasu,Jupiter,7,Moon,324000,326000,2000,90.000000,90.555556
64,7,Punarvasu,Jupiter,8,Mars,326000,328800,2800,90.555556,91.333333
65,7,Punarvasu,Jupiter,9,Rahu,328800,336000,7200,91.333333,93.333333
66,8,Pushya,Saturn,1,Saturn,336000,343600,7600,93.333333,95.444444
67,8,Pushya,Saturn,2,Mercury,343600,350400,6800,95.444444,97.333333
68,8,Pushya,Saturn,3,Ketu,350400,353200,2800,97.333333,98.111111
69,8,Pushya,Saturn,4,Venus,353200,361200,8000,98.111111,100.333333
70,8,Pushya,Saturn,5,Sun,361200,363600,2400,100.333333,101.000000
71,8,Pushya,Saturn,6,Moon,363600,367600,4000,101.000000,102.111111
72,8,Pushya,Saturn,7,Mars,367600,370400,2800,102.111111,102.888889
73,8,Pushya,Saturn,8,Rahu,370400,377600,7200,102.888889,104.888889
74,8,Pushya,Saturn,9,Jupiter,377600,384000,6400,104.888889,106.666667
75,9,Ashlesha,Mercury,1,Mercury,384000,390800,6800,106.666667,108.555556
76,9,Ashlesha,Mercury,2,Ketu,390800,393600,2800,108.555556,109.333333
77,9,Ashlesha,Mercury,3,Venus,393600,401600,8000,109.333333,111.555556
78,9,Ashlesha,Mercury,4,Sun,401600,404000,2400,111.555556,112.222222
79,9,Ashlesha,Mercury,5,Moon,404000,408000,4000,112.222222,113.333333
80,9,Ashlesha,Mercury,6,Mars,408000,410800,2800,113.333333,114.111111
81,9,Ashlesha,Mercury,7,Rahu,410800,418000,7200,114.111111,116.111111
82,9,Ashlesha,Mercury,8,Jupiter,418000,424400,6400,116.111111,117.888889
83,9,Ashlesha,Mercury,9,Saturn,424400,432000,7600,117.888889,120.000000
84,10,Magha,Ketu,1,Ketu,432000,434800,2800,120.000000,120.777778
85,10,Magha,Ketu,2,Venus,434800,442800,8000,120.777778,123.000000
86,10,Magha,Ketu,3,Sun,442800,445200,2400,123.000000,123.666667
87,10,Magha,Ketu,4,Moon,445200,449200,4000,123.666667,124.777778
88,10,Magha,Ketu,5,Mars,449200,452000,2800,124.777778,125.555556
89,10,Magha,Ketu,6,Rahu,452000,459200,7200,125.555556,127.555556
90,10,Magha,Ketu,7,Jupiter,459200,465600,6400,127.555556,129.333333
91,10,Magha,Ketu,8,Saturn,465600,473200,7600,129.333333,131.444444
92,10,Magha,Ketu,9,Mercury,473200,480000,6800,131.444444,133.333333
93,11,Purva Phalguni,Venus,1,Venus,480000,488000,8000,133.333333,135.555556
94,11,Purva Phalguni,Venus,2,Sun,488000,490400,2400,135.555556,136.222222
95,11,Purva Phalguni,Venus,3,Moon,490400,494400,4000,136.222222,137.333333
96,11,Purva Phalguni,Venus,4,Mars,494400,497200,2800,137.333333,138.111111
97,11,Purva Phalguni,Venus,5,Rahu,497200,504400,7200,138.111111,140.111111
98,11,Purva Phalguni,Venus,6,Jupiter,504400,510800,6400,140.111111,141.888889
99,11,Purva Phalguni,Venus,7,Saturn,510800,518400,7600,141.888889,144.000000
100,11,Purva Phalguni,Venus,8,Mercury,518400,525200,6800,144.000000,145.888889
101,11,Purva Phalguni,Venus,9,Ketu,525200,528000,2800,145.888889,146.666667
102,12,Uttara Phalguni,Sun,1,Sun,528000,530400,2400,146.666667,147.333333
103,12,Uttara Phalguni,Sun,2,Moon,530400,534400,4000,147.333333,148.444444
104,12,Uttara Phalguni,Sun,3,Mars,534400,537200,2800,148.444444,149.222222
105,12,Uttara Phalguni,Sun,4,Rahu,537200,540000,2800,149.222222,150.000000
106,12,Uttara Phalguni,Sun,4,Rahu,540000,544400,4400,150.000000,151.222222
107,12,Uttara Phalguni,Sun,5,Jupiter,544400,550800,6400,151.222222,153.000000
108,12,Uttara Phalguni,Sun,6,Saturn,550800,558400,7600,153.000000,155.111111
109,12,Uttara Phalguni,Sun,7,Mercury,558400,565200,6800,155.111111,157.000000
110,12,Uttara Phalguni,Sun,8,Ketu,565200,568000,2800,157.000000,157.777778
111,12,Uttara Phalguni,Sun,9,Venus,568000,576000,8000,157.777778,160.000000
112,13,Hasta,Moon,1,Moon,576000,580000,4000,160.000000,161.111111
113,13,Hasta,Moon,2,Mars,580000,582800,2800,161.111111,161.888889
114,13,Hasta,Moon,3,Rahu,582800,590000,7200,161.888889,163.888889
115,13,Hasta,Moon,4,Jupiter,590000,596400,6400,163.888889,165.666667
116,13,Hasta,Moon,5,Saturn,596400,604000,7600,165.666667,167.777778
117,13,Hasta,Moon,6,Mercury,604000,610800,6800,167.777778,169.666667
118,13,Hasta,Moon,7,Ketu,610800,613600,2800,169.666667,170.444444
119,13,Hasta,Moon,8,Venus,613600,621600,8000,170.444444,172.666667
120,13,Hasta,Moon,9,Sun,621600,624000,2400,172.666667,173.333333
121,14,Chitra,Mars,1,Mars,624000,626800,2800,173.333333,174.111111
122,14,Chitra,Mars,2,Rahu,626800,634000,7200,174.111111,176.111111
123,14,Chitra,Mars,3,Jupiter,634000,640400,6400,176.111111,177.888889
124,14,Chitra,Mars,4,Saturn,640400,648000,7600,177.888889,180.000000
125,14,Chitra,Mars,5,Mercury,648000,654800,6800,180.000000,181.888889
126,14,Chitra,Mars,6,Ketu,654800,657600,2800,181.888889,182.666667
127,14,Chitra,Mars,7,Venus,657600,665600,8000,182.666667,184.888889
128,14,Chitra,Mars,8,Sun,665600,668000,2400,184.888889,185.555556
129,14,Chitra,Mars,9,Moon,668000,672000,4000,185.555556,186.666667
130,15,Swati,Rahu,1,Rahu,672000,679200,7200,186.666667,188.666667
131,15,Swati,Rahu,2,Jupiter,679200,685600,6400,188.666667,190.444444
132,15,Swati,Rahu,3,Saturn,685600,693200,7600,190.444444,192.555556
133,15,Swati,Rahu,4,Mercury,693200,700000,6800,192.555556,194.444444
134,15,Swati,Rahu,5,Ketu,700000,702800,2800,194.444444,195.222222
135,15,Swati,Rahu,6,Venus,702800,710800,8000,195.222222,197.444444
136,15,Swati,Rahu,7,Sun,710800,713200,2400,197.444444,198.111111
137,15,Swati,Rahu,8,Moon,713200,717200,4000,198.111111,199.222222
138,15,Swati,Rahu,9,Mars,717200,720000,2800,199.222222,200.000000
139,16,Vishakha,Jupiter,1,Jupiter,720000,726400,6400,200.000000,201.777778
140,16,Vishakha,Jupiter,2,Saturn,726400,734000,7600,201.777778,203.888889
141,16,Vishakha,Jupiter,3,Mercury,734000,740800,6800,203.888889,205.777778
142,16,Vishakha,Jupiter,4,Ketu,740800,743600,2800,205.777778,206.555556
143,16,Vishakha,Jupiter,5,Venus,743600,751600,8000,206.555556,208.777778
144,16,Vishakha,Jupiter,6,Sun,751600,754000,2400,208.777778,209.444444
145,16,Vishakha,Jupiter,7,Moon,754000,756000,2000,209.444444,210.000000
146,16,Vishakha,Jupiter,7,Moon,756000,758000,2000,210.000000,210.555556
147,16,Vishakha,Jupiter,8,Mars,758000,760800,2800,210.555556,211.333333
148,16,Vishakha,Jupiter,9,Rahu,760800,768000,7200,211.333333,213.333333
149,17,Anuradha,Saturn,1,Saturn,768000,775600,7600,213.333333,215.444444
150,17,Anuradha,Saturn,2,Mercury,775600,782400,6800,215.444444,217.333333
151,17,Anuradha,Saturn,3,Ketu,782400,785200,2800,217.333333,218.111111
152,17,Anuradha,Saturn,4,Venus,785200,793200,8000,218.111111,220.333333
153,17,Anuradha,Saturn,5,Sun,793200,795600,2400,220.333333,221.000000
154,17,Anuradha,Saturn,6,Moon,795600,799600,4000,221.000000,222.111111
155,17,Anuradha,Saturn,7,Mars,799600,802400,2800,222.111111,222.888889
156,17,Anuradha,Saturn,8,Rahu,802400,809600,7200,222.888889,224.888889
157,17,Anuradha,Saturn,9,Jupiter,809600,816000,6400,224.888889,226.666667
158,18,Jyeshtha,Mercury,1,Mercury,816000,822800,6800,226.666667,228.555556
159,18,Jyeshtha,Mercury,2,Ketu,822800,825600,2800,228.555556,229.333333
160,18,Jyeshtha,Mercury,3,Venus,825600,833600,8000,229.333333,231.555556
161,18,Jyeshtha,Mercury,4,Sun,833600,836000,2400,231.555556,232.222222
162,18,Jyeshtha,Mercury,5,Moon,836000,840000,4000,232.222222,233.333333
163,18,Jyeshtha,Mercury,6,Mars,840000,842800,2800,233.333333,234.111111
164,18,Jyeshtha,Mercury,7,Rahu,842800,850000,7200,234.111111,236.111111
165,18,Jyeshtha,Mercury,8,Jupiter,850000,856400,6400,236.111111,237.888889
166,18,Jyeshtha,Mercury,9,Saturn,856400,864000,7600,237.888889,240.000000
167,19,Mula,Ketu,1,Ketu,864000,866800,2800,240.000000,240.777778
168,19,Mula,Ketu,2,Venus,866800,874800,8000,240.777778,243.000000
169,19,Mula,Ketu,3,Sun,874800,877200,2400,243.000000,243.666667
170,19,Mula,Ketu,4,Moon,877200,881200,4000,243.666667,244.777778
171,19,Mula,Ketu,5,Mars,881200,884000,2800,244.777778,245.555556
172,19,Mula,Ketu,6,Rahu,884000,891200,7200,245.555556,247.555556
173,19,Mula,Ketu,7,Jupiter,891200,897600,6400,247.555556,249.333333
174,19,Mula,Ketu,8,Saturn,897600,905200,7600,249.333333,251.444444
175,19,Mula,Ketu,9,Mercury,905200,912000,6800,251.444444,253.333333
176,20,Purva Ashadha,Venus,1,Venus,912000,920000,8000,253.333333,255.555556
177,20,Purva Ashadha,Venus,2,Sun,920000,922400,2400,255.555556,256.222222
178,20,Purva Ashadha,Venus,3,Moon,922400,926400,4000,256.222222,257.333333
179,20,Purva Ashadha,Venus,4,Mars,926400,929200,2800,257.333333,258.111111
